x,y
76,75.30033002
13,9.577368568
51,48.38088357
70,72.95331671
98,92.59573853
86,88.85523586
100,99.00361771
46,45.09439571
51,46.94362684
50,48.33449605
91,94.92329574
48,47.78165248
81,81.28960746
38,37.83155021
40,39.69185252
79,76.92664854
96,88.02990531
60,56.99178872
70,72.58929383
44,44.98103442
11,11.99017641
6,1.919513328
5,1.628826073
72,66.27746655
55,57.53887255
95,94.70291077
41,41.21469904
25,25.04169243
1,3.778209914
55,50.50711779
4,9.682408486
48,48.88147608
55,54.40348599
75,71.70233156
68,69.35848388
100,99.98491591
25,26.03323718
75,75.48910307
34,36.59623056
38,40.95102191
92,86.78316267
21,15.50701184
88,85.86077871
75,79.20610113
76,80.80643766
44,48.59717283
10,13.93415049
21,27.3051179
16,14.00226297
32,33.67416
13,13.11612884
26,24.76649193
70,73.68477876
77,77.53149541
77,76.24503196
88,88.0578931
35,35.02445799
24,21.65857739
17,17.33681562
91,94.36778957
32,33.43396307
36,32.52179399
89,90.57741298
69,71.25634126
30,31.23212856
6,5.398840061
22,18.56241391
67,71.97121038
9,5.225759566
74,73.5964342
50,49.76948983
85,82.69087513
3,1.652309089
0,-3.836652144
59,62.03811556
62,61.26514581
17,13.24991628
90,88.61672694
23,21.13655528
19,23.85017475
93,92.01203405
14,10.26712261
58,54.14681616
87,87.00645713
37,37.69447352
20,19.62278654
35,34.78561007
63,62.03190983
56,52.67003801
62,58.09031476
98,97.19448821
90,90.50155298
51,50.5123462
93,94.45211871
22,21.10794636
38,37.36298431
13,10.28574844
98,96.04932416
99,100.0953697
31,30.6063167
94,96.19000542
73,71.30828034
37,34.59311043
23,19.02332876
11,10.76669688
88,90.5799868
47,48.71787679
79,78.74139764
91,85.23492274
71,71.65789964
10,8.938990554
39,39.89606046
92,91.85091116
99,99.11200375
28,26.22196486
32,33.21584226
32,35.72392691
75,76.88604495
99,99.30874567
27,25.77161074
64,67.85169407
98,98.50371084
38,31.11331895
46,45.51171028
13,12.65537808
96,95.56065366
9,9.526431641
34,36.10893209
49,46.43628318
1,-3.83998112
50,48.97302037
94,93.25305499
27,23.47650968
20,17.13551132
12,14.55896144
45,41.53992729
91,91.64730552
61,66.16652565
10,9.230857489
47,47.41377893
33,34.76441561
84,86.10796637
24,21.81267954
48,48.89963951
48,46.78108638
9,12.91328547
93,94.55203143
99,94.97068753
8,2.379172481
20,21.47982988
38,35.79795462
78,82.0763803
81,78.87097714
42,47.2492425
95,96.18852325
78,78.38491927
44,42.94274064
68,64.43231595
87,84.21191485
58,57.3069783
52,52.52101436
26,25.7440243
75,75.42283401
48,53.62523007
71,75.14466308
77,74.12151511
34,36.24807243
24,20.21665898
70,66.94758118
29,34.07278254
76,73.13850045
98,92.85929155
28,28.36793808
87,85.59308727
9,10.68453755
87,86.10708624
33,33.22031418
64,66.09563422
17,19.30486546
49,48.84542083
95,93.73176312
75,75.45758614
89,91.24239226
81,87.15690853
25,25.53752833
47,46.06629478
50,49.65277661
5,7.382244165
68,71.11189935
84,83.50570521
8,8.791139893
41,33.30638903
26,26.40362524
89,91.72960726
78,82.53030719
34,36.67762733
92,86.98450355
27,32.34784175
12,16.78353974
2,1.576584383
22,17.4618141
0,2.116113029
26,24.34804332
50,48.29491198
84,85.52145453
70,73.71434779
66,63.15189497
42,38.46213684
19,19.47100788
94,94.07428225
71,67.92051286
19,22.58096241
16,16.01629889
49,48.43307886
29,29.6673599
29,26.65566328
86,86.28206739
50,50.82304924
86,88.57251713
30,32.59980745
23,21.02469368
20,20.72894979
16,20.38051187
57,57.25180153
8,6.967537054
8,10.240085
62,64.94841088
55,55.35893915
30,31.24365589
86,90.72048818
62,58.750127
51,55.85003198
61,60.19925869
86,85.03295412
61,60.38823085
21,18.44679787
81,82.18839247
97,94.2963344
5,7.682024586
61,61.01858089
47,53.60562216
98,94.47728801
30,27.9645947
63,62.55662585
0,1.406254414
100,101.7003412
18,13.84973988
30,28.99769315
98,99.04315693
16,15.56135514
22,24.63528393
55,53.98393374
43,42.91449728
75,74.29662112
91,91.17012883
46,49.42440876
85,82.47683519
55,56.15303953
36,37.17063131
49,46.36928662
94,97.02383456
43,40.83182104
22,24.08498313
37,41.14386358
24,21.97388066
95,100.740897
61,61.19971596
75,74.39517002
68,69.04377173
58,56.68718792
5,5.860391715
53,55.72021356
80,79.22021816
83,86.30177517
25,25.26971886
34,36.33294447
26,27.65574228
90,94.79690531
60,58.67366671
49,56.15934471
19,18.40919388
92,86.26936988
29,26.59436195
8,8.452520159
57,56.18131518
29,27.65452669
19,20.87391785
81,77.83354439
50,50.01787825
15,9.290856256
70,75.0284725
39,38.3037698
43,44.70786405
21,22.51016575
98,102.4959452
86,86.76845244
16,13.89748578
25,24.81824269
31,33.94224862
93,92.26970059
67,68.73365081
49,47.38516883
25,32.37576914
88,87.67388681
54,54.57648371
21,18.06450222
8,7.896539841
32,35.00341078
35,36.72823317
67,65.84975426
90,89.59295492
59,61.69026202
15,11.60499315
67,71.0826803
42,43.71901164
44,41.57421008
77,74.25552425
68,66.28310437
36,36.62438077
11,10.32374866
10,7.156457657
65,67.88603132
98,101.1097591
98,98.6132033
49,50.19083844
31,27.83896261
56,55.9249564
70,76.47340872
91,92.05756378
25,27.35245439
54,55.32083476
39,41.39990349
91,93.59057024
3,5.297054029
22,21.01429422
2,2.267059451
2,-0.121860502
65,66.49546208
71,73.83637687
42,42.10140878
76,77.35135732
43,41.02251779
8,14.75305272
86,83.28199022
87,89.93374342
3,2.286571686
58,55.61421297
62,62.15313408
89,89.55803528
95,94.00291863
28,26.78023848
0,-0.764537626
1,0.282866003
49,44.26800515
21,19.85174138
46,47.15960005
11,8.359366572
89,92.08157084
37,41.88734051
29,30.5413129
44,46.87654473
96,96.35659485
16,17.9170699
74,71.67949917
35,32.64997554
42,39.34482965
16,17.03401999
56,52.87524074
18,15.85414849
100,108.8716183
54,49.30477253
92,89.4749477
63,63.67348242
81,83.78410946
73,73.51136922
48,46.80297244
1,5.809946802
85,85.23027975
14,10.58213964
25,21.37698317
45,46.0537745
98,95.2389253
97,94.15149206
58,54.54868046
93,87.36260449
88,88.47741598
89,84.48045678
47,48.79647071
6,10.76675683
34,30.48882921
30,29.76846185
16,13.51574749
86,86.12955884
40,43.30022747
52,51.92110232
15,16.49185287
4,7.998073432
95,97.66689567
99,89.80545367
35,38.07166567
58,60.27852322
10,6.709195759
16,18.35488924
53,56.37058203
58,62.80064204
42,41.25155632
24,19.42637541
84,82.88935804
64,63.61364981
12,11.29627199
61,60.02274882
75,72.60339326
15,11.87964573
100,100.7012737
43,45.12420809
13,14.81106804
48,48.09368034
45,42.29145672
52,52.73389794
34,36.72396986
30,28.64535198
65,62.16675273
100,95.58459518
67,66.04325304
99,99.9566225
45,46.14941984
87,89.13754963
73,69.71787806
9,12.31736648
81,78.20296268
72,71.30995371
81,81.45544709
58,58.59500642
93,94.62509374
82,88.60376995
66,63.64868529
97,94.9752655
